Date,Open,High,Low,Close,Volume,Name
2/8/2013,73.01,73.71,72.82,73.31,2000477,ACN
2/11/2013,73.09,73.27,72.1,73.07,1880055,ACN
2/12/2013,72.89,73.495,72.58,73.37,1710274,ACN
2/13/2013,73.32,73.71,73.2,73.56,1884631,ACN
2/14/2013,73.21,73.5,72.66,73.13,2096346,ACN
2/15/2013,73.08,74.16,73,74.16,3221961,ACN
2/19/2013,74.28,75.46,73.83,75.4,2787513,ACN
2/20/2013,75.4,75.97,75,75,2641312,ACN
2/21/2013,74.69,74.75,73.45,73.85,2647515,ACN
2/22/2013,74.15,74.8,73.95,74.8,1930654,ACN
2/25/2013,75.17,75.52,73.91,73.91,2836095,ACN
2/26/2013,74.32,74.68,73.55,73.83,1970561,ACN
2/27/2013,74,74.63,73.39,74.41,2201042,ACN
2/28/2013,74.52,75.14,74.27,74.36,2366121,ACN
3/1/2013,74.13,74.95,73.62,74.82,1678154,ACN
3/4/2013,74.53,75.28,74.25,75.24,1825682,ACN
3/5/2013,75.56,77,75.5,76.92,2523071,ACN
3/6/2013,77.03,77.6,76.92,77.41,2000048,ACN
3/7/2013,77.29,77.835,76.87,77.57,2565710,ACN
3/8/2013,77.98,78.46,77.39,78.35,1878456,ACN
3/11/2013,78.38,78.43,77.63,78.3,1752106,ACN
3/12/2013,78.26,78.4,77.63,78.02,1645569,ACN
3/13/2013,78,78.12,77.465,77.93,1789769,ACN
3/14/2013,78.08,78.37,77.865,78.26,1959257,ACN
3/15/2013,77.88,78.17,76.52,76.6,6131312,ACN
3/18/2013,75.87,77.27,75.86,76.81,2578496,ACN
3/19/2013,77.16,77.22,75.81,76.18,2801666,ACN
3/20/2013,76.34,76.8,76.13,76.49,2487340,ACN
3/21/2013,75.83,76.005,74.065,74.3,3844648,ACN
3/22/2013,74.3,74.74,73.33,73.88,3306172,ACN
3/25/2013,74.2,74.324,73.225,73.41,3397367,ACN
3/26/2013,74,74.73,73.84,74.54,2040600,ACN
3/27/2013,74.18,75.04,74.1,74.88,2482818,ACN
3/28/2013,73.79,76.14,72.42,75.97,4038807,ACN
4/1/2013,76.07,76.45,75.55,75.85,2017406,ACN
4/2/2013,76.1,76.98,75.91,76.67,2686667,ACN
4/3/2013,76.835,77,76.13,76.6,2986577,ACN
4/4/2013,76.86,76.92,76.31,76.61,1796319,ACN
4/5/2013,75.76,76.36,75.52,76.25,2077949,ACN
4/8/2013,76.14,76.62,75.9,76.55,1950747,ACN
4/9/2013,76.76,76.95,75.93,76.21,1975596,ACN
4/10/2013,75.56,77.12,75.5,77.01,3406072,ACN
4/11/2013,76.97,77.94,76.81,77.78,2533852,ACN
4/12/2013,77,77.37,76.17,77.23,2985208,ACN
4/15/2013,76.93,77.06,75.23,75.24,2930740,ACN
